Manufacturer, MFC Name, Series, Character,  Gender, Scale, Height, Price, 18+?, Cast Off?, Type, Tags, JAN
Error on this item: https://myfigurecollection.net/item/388627
Native,Shoujo Material - Creator's Collection - Shoujo S - 1/7 (Native),Shoujo Material,Shoujo S,F,1/7,200,8000,Y,Y,,|1/7|18+|breast|brown hair|chair|creator's collection|female|food|food in mouth|hairbow|hairbows on each side|loli|midriff|miniskirt|naked|naruko hanaharu|native|open shirt|panties|panty pull|pigeon toed|school uniform|short hair|shoujo material|skirt|small breats|strawberry|thighhighs|thighs|twintails|undressing,4562271931071,
Good Smile Company,A.I.Channel - Kizuna Ai - Nendoroid #899 (Good Smile Company),A.I.Channel,Kizuna Ai,F,,120,4444,N,N,,|a.i.channel|bare shoulders|belly button|blue eyes|brown hair|detached sleeves|female|female figure|female nendoroid|fringe bangs|good smile company|hairbow|headband|jun (e.v.)|kizuna ai|long hair|miniskirt|nendoroid|nendoron|pink hair ribbon|real person|ribbon|sailor collar|shorts|thighhighs|thighhigh boots|thighs|white clothes|youtube|zettai ryouiki,4580416905138,
Kotobukiya,Shingeki no Bahamut - Dark Angel Olivia - 1/8 (Kotobukiya),Shingeki no Bahamut,Dark Angel Olivia,F,1/8,290,13800,N,N,,|1/8|11+ inches|2014|290 mm|abs|angel wings|armor parts|based on artwork|black gloves|black skirt|clear parts|cygames|dark angel olivia|dedicated base|dual swords|dual wield|exposed shoulders|female|female figure|female warrior|gloves|gold parts|hair ornament|holding swords|horns|knee bent|kotobukiya|long gloves|long hair|matsumoto kouei|miniskirt|mushimaro|on one leg|orange hair|prepainted|purple crystals|pvc|re-release|red eyes|scenic base|shingeki no bahamut|skirt|sword|tattoo|thighhighs|thighhigh boots|thighs|weapon|wings|zettai ryouiki,4934054783090,
Good Smile Company| Max Factory,Fire Emblem: Kakusei - Tiamo - 1/7 (Good Smile Company| Max Factory),Fire Emblem: Kakusei,Tiamo,F,1/7,240,15556,N,N,,|1/7|abs|action pose|armor parts|armour|armoured dress|armpit|belt|boots|cordelia|dress|elaborate base|female|female figure|female warrior|fire emblem: kakusei|flat chest|game character|garters|gauntlets|good smile company|hair ornament|intelligent systems|kozaki yusuke|lance|long hair|looking back|max factory|miniskirt|nintendo|prepainted|pvc|red dress|red eyes|red hair|ripples|scenic base|shining wizard @ sawachika|short dress|standing|thighhighs|thighhigh boots|thighs|tiamo|water|weapon|wonder festival 2014 [winter]|zettai ryouiki,4571368442529,
